text_content,sentiment_compound_score
The sudden primal urge to get a cheetah after watching this is driving me crazy,-0.34
"As was also found out by the breeding experiment with foxes, the lower stress environment lowers the cortisol stress hormone which causes other neurochemical changes that increase docility and sociability. As with most animals, remove them from the stressful life of every day being a fight for survival for a few generations and you get a creature that has become so human adapted that their personalities can take a massive u-turn from the usual standoffishness and wariness of their wild counterparts. Adding _the_ dog breed that by default sees everything as a friend has fast tracked this in cheetahs.",-0.765
Remember it is weakest in strength in big cats and less aggressive too but it can still f*ck you up if you trouble it....,-0.5794
🐅: why is emergency food 1 and 2 attacking me,-0.6808
"Forget having it in him, the corgi was that dawg.",-0.2263
"Tiger wasn't scared. It was confused thinking ""why my appetizer mad at me for?"" 😂",-0.05
"Terrifying running into these cats in the wild.  Whether mountain lion, puma or panther.   They can devastate anything that isn't solid granite.  Amazing cats.",-0.9065
"""he stretches his paws towards me. how clean.yeah. holy. elipses,dot.woops.theyre hiding."" hits hard(audio track pmo)",-0.296
There is death in those eyes.,-0.5994
"""There are many buckets but this one is mine... without me, my bucket is useless. Without my bucket, I am useless!""🤨",-0.8268
The end triggered my fight or flight response,-0.3818
"Imagine the power in those jaws, the pain those teeth can inflict ...",-0.5106
The bite at the end scared me 😭,-0.7184
"You see... when a big jungle cat looks mad as fuck like that, chances are you're probably in danger.",-0.7783
This is what happens when a big cat realizes it doesn’t have to worry about competition in the wild,-0.4404
The last cheetah belike i hate u i hate u is the camra off ok i love u,-0.25
"If I could have a big cat for a pet, id take bobcat, they ain't that strong",-0.4023
i think dog tought that this cat not looked like other cats in its neighbours,-0.2755
Ma perché stressare li animali così per niente 😢😢😢😢😢😢😢😢😢😢,-0.9834
Negligent. Absolutely no one in that room should own an animal.,-0.3597
When this Puma does permanent damage to the gentleman holding it he will learn what a five year old know. Wild animals belong in the wild.,-0.4939
Whoever carried in that creature and put it next to that other animal to allow that other animal to be assaulted accidentally is guilty of damages and of negligence for allowing that large predator to swipe the dog,-0.8625
Why does this man carry’s this wild animal in his livingroom?!?😵‍💫,-0.5349
This is animal whose daily life is prepared in the wilderness because it is a dangerous animal,-0.296
This is shameful and makes me wonder if they do this kind of abusive actions on camera what do they do off camera,-0.8268
